"Reference","Value","Datasheet","Footprint","Qty","DNP"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12","LED","~","PorridgePi-Personal:LED-6028-SMD","12",""
"J1","JST-XH-B6B","~","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","1",""
"J2","Header-01x09","~","Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical","1",""
"J3,J5,J6,J7","3.3V-JST-XH-B2B","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","4",""
"J4","JST-XH-B4B","~","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
"L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12","TEMT6000","~","PorridgePi-Personal:TEMT6000-SMD","12",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12","10k","~","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","12",""
"R13,R14","R","~","PCM_Resistor_THT_AKL:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","2",""
"U1","ESP-S2-Pico","","PorridgePi-Personal:ESP32-S2-Pico","1",""
"U2","MINI560 3.3V","","PorridgePi-Personal:MINI560","1",""
